State,District,Subject,LO_Code,Description,Score
Jharkhand,Palamu,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",47
Jharkhand,Ramgarh,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",51
Jharkhand,Ranchi,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",51
Jharkhand,Sahebganj,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",36
Jharkhand,Saraikela Kharsawan,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Jharkhand,Simdega,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Jharkhand,West Singhbhum,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",48
Jharkhand,Bokaro,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,70
Jharkhand,Chatra,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,56
Jharkhand,Deoghar,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Jharkhand,Dhanbad,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,65
Jharkhand,Dumka,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,61
Jharkhand,East Singhbum,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Jharkhand,Garhwa,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,58
Jharkhand,Giridih,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,59
Jharkhand,Godda,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,54
Jharkhand,Gumla,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,56
Jharkhand,Hazaribagh,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,59
Jharkhand,Jamtara,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Jharkhand,Khunti,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,63
Jharkhand,Koderma,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,61
Jharkhand,Latehar,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,50
Jharkhand,Lohardaga,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,61
Jharkhand,Pakur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,50
Jharkhand,Palamu,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,57
Jharkhand,Ramgarh,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Jharkhand,Ranchi,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Jharkhand,Sahebganj,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,44
Jharkhand,Saraikela Kharsawan,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,61
Jharkhand,Simdega,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,63
Jharkhand,West Singhbhum,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,58
Kerala,Alappuzha,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",75
Kerala,Ernakulam,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",83
Kerala,Idukki,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",71
Kerala,Kannur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",72
Kerala,Kasaragod,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",65
Kerala,Kollam,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",77
